,software,categories
3603,ON24,"['Virtual Event Platforms', 'Content Experience Platforms', 'Webinar']"
3604,ONE by AOL: Advertisers,"['Cross-Channel Advertising', 'Display Advertising', 'Mobile Advertising', 'Video Advertising']"
3605,ONTAP Data Management Software,['Master Data Management (MDM)']
3606,ONTAP Select,['Hybrid Cloud Storage Solutions']
3607,OPALS,['Library Management Systems']
3608,OPENRDA,['ERP Systems']
3609,ORM Technologies,"['Marketing Analytics', 'Attribution', 'Account Data Management', 'Account-Based Analytics', 'Sales Analytics', 'AI Sales Assistant', 'Sales Performance Management']"
3610,ORX,['Game Engine']
3611,OSForensics,['eDiscovery']
3612,OSLC Connect for Jira,['Other Development']
3613,OST To PST Conversion,['Other Email']
3614,OST to PST Converter- V Software,['File Converter']
3615,OST to PST Recovery,['Other Development']
3616,OWOX BI,"['E-Commerce Analytics', 'Marketing Analytics']"
3617,Obenan,['Local SEO']
3618,ObjectBox,['Object-Oriented Databases']
3619,ObservePoint,"['Tag Management Systems', 'Digital Governance', 'Content Analytics', 'Mobile App Analytics', 'Data Governance', 'Cookie Tracking']"
3620,OceanX,"['Order Management', '3PL']"
3621,Ocrolus,"['Digital Process Automation (DPA)', 'Fraud Detection', 'OCR', 'Intelligent Document Processing (IDP)', 'Identity Verification']"
3622,Octane11,"['Account-Based Orchestration Platforms', 'Account-Based Analytics', 'Marketing Account Intelligence', 'Account Data Management', 'Lead Intelligence', 'Marketing Analytics']"
3623,Octopai,"['Active Metadata Management', 'Data Management Suites', 'Sensitive Data Discovery', 'Master Data Management (MDM)']"
3624,Octoparse,['OCR']
3625,Octopart,['CAD Libraries']
3626,Octopus RPA,['Robotic Process Automation (RPA)']
3627,Odaseva,"['Disaster Recovery', 'Data Governance', 'SaaS Backup', 'Salesforce AppExchange Apps', 'Enterprise Information Archiving']"
3628,Odoo Marketing Automation,['Marketing Automation']
3629,Offensity,"['Vulnerability Scanner', 'Exposure Management Platforms', 'Attack Surface Management']"
3630,OfferCraft,['Gamification']
3631,Office 365 Reports,['User Provisioning and Governance Tools']
3632,OfficeRnD Flex,"['Desk Booking', 'Property Management', 'Meeting Room Booking Systems']"
3633,OfficeSpace Software,"['Desk Booking', 'Space Management', 'Meeting Room Booking Systems', 'Hybrid Enablement']"
3634,OfficeTools by CARET,"['Accounting Practice Management', 'Billing']"
3635,Oil Country OS,['Oil and Gas Asset Management']
3636,Oliver POS,['Retail POS']
3637,Omatic Software,"['On-Premise Data Integration', 'iPaaS']"
3638,Omeda,"['Customer Data Platform (CDP)', 'Email Marketing', 'Subscription Management']"
3639,Omni Analytics,"['Analytics Platforms', 'Data Visualization', 'Embedded Business Intelligence']"
3640,Omni Intelligence,"['Data Visualization', 'Genesys AppFoundry Marketplace']"
3641,OmniGraffle,"['Diagramming', 'Wireframing']"
3642,OmniPCX Office RCE,['Communication Platform as a Service']
3643,Omnia Retail,"['Pricing', 'Retail Pricing']"
3644,Omnilytics,"['Retail Analytics', 'Retail Intelligence']"
3645,Omniscope Evo,"['Data Preparation', 'Big Data Analytics', 'Embedded Business Intelligence', 'Analytics Platforms', 'ETL Tools']"
3646,Omnishield by MyDigitalShield,"['Cloud Data Security', 'Intrusion Detection and Prevention Systems (IDPS)', 'Firewall Software']"
3647,Omnitail,"['Marketing Analytics Services', 'Social Media Marketing (SMM) Companies', 'PPC Services', 'Digital Marketing', 'Shopify Marketing Experts', 'Amazon Marketing Services']"
3648,Omnizon B2B/EDI Integration Platform,['Electronic Data Interchange (EDI)']
3649,On-Site Service and Maintenance,['Other B2B Services']
3650,On2Air,['Project Management Tools']
3651,OnArrival,['Event Registration \\u0026 Ticketing']
3652,OnBase,"['HR Service Delivery', 'AP Automation', 'Low-Code Development Platforms', 'Business Process Management', 'Enterprise Content Management (ECM)', 'Document Management']"
3653,OnCommand Cloud Manager,['Cloud Management Platforms']
3654,OnVUE,['Online Proctoring']
3655,Onclusive,"['Influencer Marketing Platforms', 'Media Monitoring', 'Media and Influencer Targeting', 'PR Analytics', 'Social Media Analytics', 'Social Media Listening Tools', 'PR CRM', 'Online Newsroom']"
3656,Oncora Medical,['Electronic Data Capture (EDC)']
3657,Oncord,"['Website Builder', 'Web Content Management', 'Shopping Cart', 'Marketing Automation']"
3658,Ondato,"['Identity Verification', 'Biometric Authentication', 'Anti Money Laundering', 'Age Verification']"
3659,One Charts,['Data Visualization']
3660,One Data Cartography,['Data Fabric']
3661,OneDirect Feedback Cloud,['Enterprise Feedback Management']
3662,OneDrive Backup Software,['Email Backup']
3663,OneHash CRM,"['CRM', 'Workforce Management', 'Payroll', 'Accounting', 'Sales Compensation', 'ERP Systems', 'Onboarding']"
3664,OneNeck IT Solutions,"['Vulnerability Assessment Services', 'Threat Intelligence Services', 'Network Security Services', 'Managed Security Services (MSSP)', 'IT Compliance Services', 'Incident Response Services', 'Endpoint Security Services', 'Data Security Services', 'Application Security Services', 'Microsoft Office 365 Resellers', 'Microsoft Azure Resellers', 'Cisco Unified Communications Resellers', 'Cisco Hardware Resellers', 'IT Strategy Consulting', 'IT Infrastructure Consulting', 'Digital Transformation Consulting', 'Cybersecurity Consulting', 'Cloud Consulting', 'IT Outsourcing', 'Data Center Infrastructure']"
3665,OnePager,['Project Management Tools']
3666,OnePoint HCM,"['Applicant Tracking Systems (ATS)', 'Payroll', 'Workforce Management', 'Core HR']"
3667,OneSchema,"['Data Exchange Platforms', 'Electronic Data Interchange (EDI)', 'Data Quality', 'Data Preparation', 'Data Extraction']"
3668,OneTimePIM,['Product Information Management (PIM)']
3669,OneTrust Privacy and Data Governance Cloud,"['Data Privacy Management', 'Privacy Impact Assessment (PIA)', 'Data Subject Access Request (DSAR)', 'Privacy Policy Generator', 'Sensitive Data Discovery', 'Consent Management Platform (CMP)', 'Cookie Tracking', 'Vendor Security and Privacy Assessment', 'Data Governance']"
3670,Onehub,"['Client Portal', 'Cloud File Storage', 'Virtual Data Room', 'Cloud Content Collaboration', 'Enterprise Content Management (ECM)']"
3671,Onlime,['Cloud Content Collaboration']
3672,OnlineCRF,['Electronic Data Capture (EDC)']
3673,Onna,"['Sensitive Data Discovery', 'eDiscovery', 'Enterprise Search Software', 'Legal Hold']"
3674,Onollo,['Social Media Management']
3675,Onshape,"['CAD Viewers', 'Product Data Management (PDM)', '3D Printing', 'Mechanical Computer-aided Design (MCAD)', 'General-Purpose CAD', 'PLM', 'Simulation \\u0026 CAE', 'Sketching', 'PCB Design']"
3676,Ontic,"['Dark Web Monitoring', 'Physical Security', 'Protective Intelligence Platforms']"
3677,Ontrack Easy Controls,['IBM Storage VARs']
3678,Onyx CRM,['CRM']
3679,Opcenter RD\u0026L,"['Quality Management (QMS)', 'Specification Management']"
3680,Open Studio for Data Integration,['ETL Tools']
3681,Open Studio for ESB,['Enterprise Service Bus (ESB)']
3682,Open Text Magellan,"['Data Science and Machine Learning Platforms', 'Analytics Platforms', 'Predictive Analytics', 'Statistical Analysis', 'Text Analysis']"
3683,Open mHealth,['Healthcare Analytics']
3684,OpenBOM,"['PLM', 'Product Data Management (PDM)']"
3685,OpenBlender,['Machine Learning']
3686,OpenClinica,['Electronic Data Capture (EDC)']
3687,OpenComp,['Compensation Management']
3688,OpenDDL,['Gaming Tools']
3689,OpenDrive,"['Online Backup', 'PC Backup']"
3690,OpenIO Object Storage,['Object Storage Solutions']
3691,OpenLayers,['Other Development Services']
3692,OpenManage Network Manager,['Data Center Networking']
3693,OpenOffice Base,['Desktop Database']
3694,OpenRefine,['Data Quality']
3695,OpenStack,"['Cloud Management Platforms', 'Infrastructure as a Service (IaaS)']"
3696,OpenTerra,['Location Intelligence']
3697,OpenText BizManager,"['Enterprise Service Bus (ESB)', 'Managed File Transfer (MFT)']"
3698,OpenText Business Network Cloud EDI,['Electronic Data Interchange (EDI)']
3699,OpenText Comparex,['Version Control Clients']
3700,OpenText Data Protector,"['Server Backup', 'Disaster Recovery']"
3701,OpenText Database Connectors,['Other IT Infrastructure']
3702,OpenText EnCase Information Assurance,"['Sensitive Data Discovery', 'Legal Hold']"
3703,OpenText InfoArchive,['Archive Storage Solutions']
3704,OpenText Operations Bridge (OpsBridge),"['Enterprise Monitoring', 'AIOps Platforms', 'Database Monitoring', 'Digital Experience Monitoring (DEM)', 'Cloud Infrastructure Monitoring', 'IT Alerting', 'Container Monitoring', 'Log Analysis', 'Incident Management', 'Application Performance Monitoring (APM)']"
3705,OpenText Security Open Data Platform (SODP),['Cloud Security Monitoring and Analytics']
3706,OpenText Voltage SecureData Enterprise,"['Database Security', 'Data Masking']"
3707,OpenText ZENworks Endpoint Security Management,['Endpoint Management']
3708,OpenText Zenworks Asset Management,"['Software Asset Management Tools', 'IT Asset Management']"
3709,OpenText™ Vertica™,"['Big Data Processing and Distribution', 'Data Warehouse', 'Columnar Databases']"
3710,OpenViz,['Embedded Business Intelligence']
3711,OpenWorks,['Oil and Gas Asset Management']
3712,OpenXava,['Java Web Frameworks']
3713,OpendTect,['Geology and Seismic']
3714,Openprise,"['Lead-to-Account Matching and Routing', 'Customer Data Platform (CDP)', 'Account Data Management', 'Attribution', 'Data Quality']"
3715,Operative.One,['Supply Side Platform (SSP)']
3716,Opero Documents,['Salesforce CRM Document Generation']
3717,OpsGuru,"['Cloud Migration Services', 'Amazon Web Services Channel Partners', 'Microsoft Consulting Services', 'Google Consulting Services', 'AWS Consulting Services']"
3718,OpsHub Migration Manager,['File Migration']
3719,Opster,['Database as a Service (DBaaS)']
3720,Opsware Data,"['Data Privacy Management', 'Data Subject Access Request (DSAR)', 'Sensitive Data Discovery']"
3721,Optima,['Other Hospitality']
3722,OptimalCloud,"['Customer Identity and Access Management (CIAM)', 'Multi-Factor Authentication (MFA)', 'Identity and Access Management (IAM)', 'Single Sign-On (SSO)', 'Patient Identity Resolution']"
3723,Optimaps,['Project Management']
3724,Optimizely Web Experimentation,"['Feature Management', 'Personalization Engines', 'E-Commerce Personalization', 'Customer Data Platform (CDP)', 'A/B Testing', 'Configuration Management']"
3725,Optimove,"['Customer Data Platform (CDP)', 'Customer Journey Analytics', 'Marketing Analytics', 'Marketing Automation', 'Marketing Platforms']"
3726,Optmyzr,"['Search Advertising', 'Mobile Advertising']"
3727,Optosys,['Optometry']
3728,Optum Health Care Advisor,"['Healthcare Analytics', 'Value-Based Performance Management Analytics', 'Population Health Management']"
3729,Optymyze,"['Sales Performance Management', 'Sales Compensation', 'Sales Analytics']"
3730,Opvia,"['Scientific Data Management System (SDMS)', 'Lab Inventory Management', 'Standard Operating Procedures', 'Medical QMS', 'Electronic Lab Notebook (ELN)', 'Quality Management (QMS)', 'LIMS']"
3731,Oracle APEX 19c with ORDS 19.1 for Amazon Oracle RDS on CentOS 7,['AWS Marketplace']
3732,Oracle Application Express,"['Low-Code Development Platforms', 'Application Development Platforms']"
3733,Oracle Audit Vault and Database Firewall,['Database Security']
3734,Oracle Autonomous Data Warehouse,"['Data Warehouse', 'Data Warehouse Automation']"
3735,Oracle Autonomous Transaction Processing,['Workload Automation']
3736,Oracle Big Data Cloud Service,['Big Data Processing and Distribution']
3737,Oracle Big Data Preparation Cloud Service,['Data Preparation']
3738,Oracle Clinical,['Electronic Data Capture (EDC)']
3739,Oracle Cloud Data Management,['Data Management Suites']
3740,Oracle Cloud Infrastructure Archive Storage Classic,['Archive Storage Solutions']
3741,Oracle Cloud Infrastructure Database Management,"['Database Monitoring', 'Database Management Systems (DBMS)']"
3742,Oracle Cloud Infrastructure Object Storage,['Object Storage Solutions']
3743,Oracle Cloud Infrastructure Storage Gateway,"['Cloud File Storage', 'Hybrid Cloud Storage Solutions', 'On-Premise Data Integration']"
3744,Oracle Cloud Infrastructure Streaming,['Event Stream Processing']
3745,Oracle Cloud Infrastructure Tagging,['Data Center Infrastructure Management (DCIM)']
3746,Oracle Cloud Infrastructure Vault,['Encryption Key Management']
3747,Oracle Cloud Platform Data Management,['Other Product Suites']
3748,Oracle Data Access Components,['Component Libraries']
3749,Oracle Data Cloud,"['Data Management Platform (DMP)', 'Marketing Analytics']"
3750,Oracle Data Hub Cloud Service,['Database Management Systems (DBMS)']
3751,Oracle Data Integrator,"['On-Premise Data Integration', 'ETL Tools']"
3752,Oracle Data Masking and Subsetting,"['Database Security', 'Data Masking']"
3753,Oracle Data Quality,['Data Quality']
3754,Oracle Data Safe,"['Database Security', 'Data Masking', 'Sensitive Data Discovery']"
3755,Oracle DataRaker,['Meter Data Management Systems']
3756,Oracle Database,"['Relational Databases', 'Database as a Service (DBaaS)']"
3757,Oracle Database 19.7.0 Enterprise Edition on Oracle Linux 8.3,['AWS Marketplace']
3758,Oracle Database 19.8.0 Enterprise Edition on Oracle Linux 8.3,['AWS Marketplace']
3759,Oracle Database 19c Enterprise Edition on Oracle Linux 8.3,['AWS Marketplace']
3760,Oracle Database Backup Service,"['Online Backup', 'Database Backup']"
3761,Oracle Database Cloud Service,"['Database as a Service (DBaaS)', 'Key Value Databases', 'Document Databases', 'Object-Oriented Databases']"
3762,Oracle Database Express Edition (XE),['Relational Databases']
3763,Oracle E-Business Suite,"['Discrete ERP', 'ERP Systems', 'Rebate Management']"
3764,Oracle Enterprise Data Management Cloud,['Master Data Management (MDM)']
3765,Oracle Enterprise Management,"['Big Data Processing and Distribution', 'Hybrid Cloud Storage Solutions']"
3766,Oracle Enterprise Manager,"['Database Management Systems (DBMS)', 'Database Monitoring', 'Data Governance']"
3767,Oracle Exadata Cloud Service,['Data Warehouse']
3768,Oracle GoldenGate,"['On-Premise Data Integration', 'Data Replication']"
3769,Oracle Hospitality OPERA Property Management System,['Hotel Management']
3770,Oracle IT Analytics Cloud Service,['Application Portfolio Management']
3771,Oracle Infinity,"['Digital Analytics', 'Personalization Engines']"
3772,Oracle IoT Production Monitoring Cloud,['Digital Twin']
3773,Oracle JD Edwards EnterpriseOne,"['ERP Systems', 'Accounting', 'Mixed Mode ERP', 'Discrete ERP', 'ETO ERP']"
3774,Oracle Logging Analytics,['Log Analysis']
3775,Oracle MDM,['Master Data Management (MDM)']
3776,Oracle Maxymiser,['Personalization Engines']
3777,Oracle MySQL Cloud Service,['Database as a Service (DBaaS)']
3778,Oracle PeopleSoft,"['Applicant Tracking Systems (ATS)', 'ERP Systems', 'Benefits Administration', 'Corporate Learning Management Systems', 'Core HR', 'Workforce Management', 'Payroll', 'Accounting', 'Performance Management', 'Human Resource Management Systems', 'Multi-Country Payroll']"
3779,Oracle Profitability and Cost Management Cloud,"['Financial Analysis', 'Corporate Performance Management (CPM)']"
3780,Oracle Retail Planning and Optimization,"['Retail Assortment Planning', 'Retail Space Planning']"
3781,Oracle Retail Xstore Point-of-Service,['Retail POS']
3782,Oracle Risk Management Cloud,"['IT Risk Management', 'Regulatory Change Management', 'Business Continuity Management']"
3783,Oracle Siebel,['CRM']
3784,Oracle Social Cloud,"['Social Media Listening Tools', 'Social Media Analytics', 'Social Media Management', 'Social Media Suites']"
3785,Oracle Spatial,['GIS']
3786,Oracle Tuxedo,['Application Server']
3787,Oracle Unity Customer Data Platform,['Customer Data Platform (CDP)']
3788,Oracle Virtualization,['Data Virtualization']
3789,Oracle Warehouse Builder,"['On-Premise Data Integration', 'ETL Tools']"
3790,Orange,['Statistical Analysis']
3791,Orbis,['Competitive Intelligence']
3792,Orcablue,['Analytics Platforms']
3793,Orderful,['Electronic Data Interchange (EDI)']
3794,Org Chart by Time is Ltd.,['Org Chart']
3795,OrgaNice App,['Productivity Bots']
3796,Orgnostic,['HR Analytics']
3797,OrientDB,"['Document Databases', 'Graph Databases', 'Key Value Databases']"
3798,OriginPro,"['Statistical Analysis', 'Data Visualization', 'Spreadsheets']"
3799,Ortto,"['Marketing Platforms', 'Pop-Up Builder', 'Customer Journey Mapping', 'Email Template Builder', 'Personalization', 'Online Form Builder', 'Customer Data Platform (CDP)', 'E-Commerce Data Integration', 'Marketing Analytics', 'Lead Scoring', 'Lead Capture', 'Mobile Marketing', 'Marketing Automation']"
3800,Orum,"['Auto Dialer', 'Outbound Call Tracking', 'Virtual Workspaces']"
3801,Osano,"['Vendor Security and Privacy Assessment', 'Sensitive Data Discovery', 'Consent Management Platform (CMP)', 'Cookie Tracking', 'Data Subject Access Request (DSAR)', 'Data Privacy Management']"
3802,Oscar OCR,['OCR']
3803,Otris Privacy,['Privacy Impact Assessment (PIA)']
3804,Otta,['Job Search Sites']
3805,Otter,['Restaurant Delivery/Takeout']
3806,Out Of The Blue,"['E-Commerce Analytics', 'Data Visualization']"
3807,OutScraper,['Data Extraction']
3808,OutThink - Adaptive Security Awareness \u0026 Human Risk Management Platform,['Security Awareness Training']
3809,Outbound,"['Email Marketing', 'Sales Intelligence']"
3810,Outlook Converter,['File Converter']
3811,Outlook Converter Tool,['File Converter']
3812,Outlook Email Recovery,['Other Email']
3813,Outlook PST Password Remover,['Other Email']
3814,Outlook PST Recovery,['Other IT Security']
3815,Outlook Password Recovery,['File Recovery']
3816,Outlook to Gmail Migration Tool,['File Migration']
3817,OutlookWare OST to PST Converter,['File Converter']
3818,Outperform RMS,['Revenue Management']
3819,OutreachWriter,['AI Sales Assistant']
3820,OverIT,['Field Service Management']
3821,Overdrive,['Website Builder']
3822,Ovitas Component Content Management,['Component Content Management Systems']
3823,Owler,"['Sales Intelligence', 'Marketing Account Intelligence', 'Account Data Management']"
3824,Own,"['SaaS Backup', 'Salesforce AppExchange Apps']"
3825,Oxylabs,"['Proxy Network', 'Data Extraction']"
3826,Oyster,"['Global Employment Platforms (GEP)', 'Contractor Payments', 'Contractor Management', 'Multi-Country Payroll', 'Employer of Record (EOR)']"
3827,Oz Biometry,['Biometric Authentication']
3828,P3 Adaptive,"['Business Intelligence (BI) Consulting', 'Microsoft Consulting Services', 'Data Governance Services']"
3829,PAM,['Accounting']
3830,PATTSY WAVE,['Intellectual Property Management']
3831,PC*Miler,"['Route Planning', 'Trucking']"
3832,PCIPal,"['Contact Center Workforce', 'Genesys AppFoundry Marketplace']"
3833,PCM,"['Oracle Cloud Application Resellers', 'Oracle Database Resellers', 'Other Oracle Resellers', 'Oracle Primavera Resellers']"
3834,PDF File Converter Tool,['File Converter']
3835,PDF File Recovery,['File Recovery']
3836,PDF Tables,['Spreadsheets']
3837,PDF.co,['PDF Editor']
3838,PDI Campaign Center,['Political Campaign']
3839,PDQ Inventory,['IT Asset Management']
3840,PFL Direct Mail Platform,"['Promotional Product Management', 'Direct Mail Automation', 'Salesforce AppExchange Apps', 'Account-Based Direct Mail']"
3841,PG Vector,['Vector Database']
3842,PHEMI Health DataLab,"['Sensitive Data Discovery', 'Data De-Identification', 'Data Privacy Management', 'Data-Centric Security', 'Database Security', 'Data Masking', 'Hybrid Cloud Storage Solutions', 'Big Data Integration Platforms', 'Big Data Processing and Distribution', 'Data Warehouse', 'Data Governance', 'Machine Learning Data Catalog']"
3843,PHP CRM,['CRM']
3844,PK Masking,['Data Masking']
3845,PRGX,"['Accounts Payable (AP) and Spend Analysis', 'Financial Audit']"
3846,PRISM,['Data Visualization']
3847,PROScript 2000,['Pharmacy Management Systems']
3848,PRTG Network Monitor,"['Server Monitoring', 'Hardware Monitoring', 'Database Monitoring', 'Cloud Infrastructure Monitoring', 'Application Performance Monitoring (APM)', 'Network Monitoring', 'Enterprise Monitoring', 'Observability Solution Suites']"
3849,PST Merge Tool,['Other IT Security']
3850,PST Merger Software to Combine Multiple Outlook Data File,['File Migration']
3851,PST Migration Tool,['Other Email']
3852,PTC Arbortext,"['Product Data Management (PDM)', 'Text Editor']"
3853,PTC Windchill,"['PLM', 'Product Data Management (PDM)']"
3854,PVsyst,['Solar Design']
3855,Pabbly Email Marketing,['Email Marketing']
3856,PacerPro,['Legal Case Management']
3857,PacsCube,"['Radiology Information Systems', 'Vendor-Neutral Archives (VNA)']"
3858,Paddle Retain,"['E-Commerce Tools', 'Proactive Customer Retention']"
3859,Paillor,"['Other Process Automation', 'Self-Service Password Reset (SSPR)', 'Knowledge Base']"
3860,Palantir Gotham,"['Master Data Management (MDM)', 'Data Science and Machine Learning Platforms', 'Predictive Analytics', 'Data Fabric', 'Big Data Integration Platforms', 'iPaaS']"
3861,Palm,['Skills Management']
3862,Palo Alto Networks GlobalProtect,"['Mobile Device Management (MDM)', 'Mobile Data Security']"
3863,Palo Alto Networks Panorama,"['Zero Trust Networking', 'Network Security Policy Management (NSPM)']"
3864,Palo Alto VM-Series,"['Firewall Software', 'Intrusion Detection and Prevention Systems (IDPS)']"
3865,PandaSuite,"['No-Code Development Platforms', 'Drag and Drop App Builder', 'Content Creation', 'Prototyping', 'Presentation', 'Display Ad Design', 'Web Design', 'Course Authoring', 'Wireframing', 'Software Design Platforms']"
3866,Panoply,"['Data Warehouse', 'ETL Tools']"
3867,Panorama Education,['Academic Advising']
3868,Panzura,"['Hybrid Cloud Storage Solutions', 'Cloud File Storage']"
3869,Paperflip,['Contract Analytics']
3870,Parabola,"['Business Process Management', 'ETL Tools']"
3871,Paragon Hard Disk Manager Business,['Hard Drive Cloning']
3872,ParallelDots ShelfWatch,"['Image Recognition', 'Retail Execution']"
3873,Parasoft SOAtest,"['Software Testing', 'Automation Testing', 'API Management', 'API Design', 'Continuous Integration']"
3874,Parasoft Virtualize,"['Service Virtualization', 'Software Testing', 'Continuous Integration', 'Test Management']"
3875,Parcel Perform,"['SAP Store', 'Multicarrier Parcel Management Solutions', 'Package Tracking', 'Shipping', 'Logistics Intelligence', 'Returns Management']"
3876,Parish Data System,['Church Management']
3877,Park Square,['Management Consulting']
3878,Parkable,['Parking Management']
3879,Parse,['Mobile Backend-as-a-Service (mBaaS)']
3880,ParseHub,"['Data Extraction', 'Website Change Monitoring']"
3881,Parsio.io,"['Other Email', 'OCR']"
3882,Part3,['Construction Project Management']
3883,Parted Magic,['Data Destruction']
3884,PartnerLinQ,"['Data Exchange Platforms', 'Omnichannel Commerce', 'Global Trade Management', 'Supply Chain Business Networks', 'E-Commerce Data Integration', 'Tools for ERP', 'Order Management', 'Electronic Data Interchange (EDI)', 'Partner Management']"
3885,Partners4Results,['School Management']
3886,PartsBase,['Aviation MRO']
3887,Pascal,['Anti Money Laundering']
3888,Passly,"['Multi-Factor Authentication (MFA)', 'Single Sign-On (SSO)', 'Identity and Access Management (IAM)']"
3889,PatSeer,"['Patent Research', 'Intellectual Property Management']"
3890,Path by Simplex,['Financial Analytics']
3891,Pathlight,"['Contact Center Quality Assurance', 'Speech Analytics', 'Conversation Intelligence', 'Sales Analytics', 'Sales Performance Management', 'Data Visualization', 'Contact Center Workforce']"
3892,Pathlock,"['SAP Store', 'Risk-Based Vulnerability Management', 'Data Masking', 'IT Risk Management', 'Audit Management', 'Privileged Access Management (PAM)', 'User Provisioning and Governance Tools']"
3893,Patient Chart Manager EHR,['Optometry']
3894,PaveAI,['Marketing Analytics']
3895,Pawlicy Advisor,['Other Veterinary']
3896,PayEm,"['Spend Management', 'SaaS Spend Management', 'AP Automation', 'Expense Management', 'Accounts Payable (AP) and Spend Analysis', 'Procure to Pay']"
3897,PayPal Invoicing,['Billing']
3898,PaySketch,['Payment Analytics']
3899,PayTraQer,['Other Finance \\u0026 Admin.']
3900,PayTrace,"['Payment Gateways', 'Payment Processing']"
3901,PayWhirl,['Subscription Billing']
3902,Payfactors,"['Pay Equity', 'Compensation Management', 'Job Description Management']"
3903,Paygeon,['Invoice Management']
3904,Payitoff,['Financial Data APIs']
3905,Payline,"['Payment Processing', 'Enterprise Payment']"
3906,Payroll Point,['Payroll']
3907,Peach,['Loan Servicing']
3908,PeachWorks,['Restaurant Management']
3909,Peak Support,"['Contact Center Outsourcing Services', 'Data Entry Services', 'Managed Live Chat', 'Managed Services', 'Outsourced Sales Providers']"
3910,Peekator,['Survey']
3911,Peeklogic Salesforce Duplicate Management,['Data Quality']
3912,Peel Analytics,"['Retail Intelligence', 'Retail Analytics', 'E-Commerce Analytics']"
3913,PeerSpot (formerly IT Central Station),"['Buyer Intent Data Providers', 'Technology Review Platforms']"
3914,Pegasus Systems,"['Project Management', 'Budgeting and Forecasting', 'Time Tracking']"
3915,Peliqan,['ETL Tools']
3916,Peloton Group,"['Host Analytics Channel Partners', 'Oracle Database Resellers', 'Oracle Hyperion Resellers', 'Oracle Cloud Application Resellers', 'Enterprise Performance Management (EPM) Consultants', 'Anaplan Partners', 'NetSuite Consulting Services']"
3917,Peltarion Platform,['Data Science and Machine Learning Platforms']
3918,Penny AI,"['Multi-level Marketing (MLM)', 'AI Sales Assistant']"
3919,Pentaho Business Analytics,"['Embedded Business Intelligence', 'Analytics Platforms']"
3920,Pentaho Data Integration,"['Cloud Migration', 'Big Data Integration Platforms', 'ETL Tools', 'On-Premise Data Integration', 'Data Mapping', 'Big Data Processing and Distribution']"
3921,People Data Labs,"['API Management', 'Market Intelligence', 'Lead Intelligence', 'Data as a Service (DaaS)']"
3922,People Element,"['Employee Engagement', 'Survey', '360 Feedback Tools', 'Exit Interview Management']"
3923,People for AI,['Data Labeling Services']
3924,People.ai,"['Revenue Operations \\u0026 Intelligence (RO\\u0026I)', 'Customer Revenue Optimization', 'Org Chart', 'AI Sales Assistant', 'Account Data Management', 'Sales Coaching', 'Sales Analytics', 'Sales Performance Management']"
3925,PeopleGlass,['Sales Performance Management']
3926,PeopleInsight,['HR Analytics']
3927,Peoplelogic,['HR Analytics']
3928,Peoples Choice Sheet Tools for G Suite,['Google Workspace Creative Tools']
3929,Pepperdata Capacity Optimizer,"['Auto Scaling', 'AWS Marketplace', 'Cloud Migration Assessment Tools', 'Cloud Management Platforms', 'Cloud Cost Management']"
3930,PerceptiLabs,['Data Science and Machine Learning Platforms']
3931,Percona Backup for MongoDB,['Database Backup']
3932,Percona Kubernetes Operator for Percona XtraDB Cluster,['Database Management Systems (DBMS)']
3933,Percona Monitoring and Management (PMM),['Database Monitoring']
3934,Percona Server,['Relational Databases']
3935,Percona Server for MongoDB,['Document Databases']
3936,Percona XtraDB Cluster (PXC),['Database Management Systems (DBMS)']
3937,Peregrine Connect,"['On-Premise Data Integration', 'Data Mapping', 'iPaaS', 'Enterprise Service Bus (ESB)']"
3938,PerfectQuote,['Insurance Analytics']
3939,PerkinElmer E-Notebook,['Electronic Lab Notebook (ELN)']
3940,PerkinElmer Sample Tracker,['Other Laboratory']
3941,Permutive,['Data Management Platform (DMP)']
3942,Perry,['Other Health Care Operations']
3943,Persona by Delve AI,"['Social Media Analytics', 'Market Intelligence', 'Brand Intelligence', 'Content Analytics', 'Audience Intelligence Platforms', 'Marketing Analytics', 'Digital Analytics']"
3944,Perspectium DataSync,['ServiceNow Store Apps']
3945,Petex OpenServer,['Other Oil and Gas']
3946,Petra,['Property Management']
3947,Petrofly,"['Oil and Gas Project Management', 'Oil and Gas Back Office', 'Oil and Gas Asset Management', 'Exploration', 'Oil and Gas Engineering', 'Oil Production']"
3948,PhantomBuster,['Data Extraction']
3949,PhonEX ONE,['Other Customer Service']
3950,Phone Validator,['Other Sales']
3951,Pi Datametrics,['SEO Tools']
3952,Pi Research,['Technology Research Services']
3953,Picsellia,['MLOps Platforms']
3954,Pidgi.io,['Sales Intelligence']
3955,PieEye,"['Data Privacy Management', 'Cookie Tracking', 'Data Subject Access Request (DSAR)', 'Privacy Impact Assessment (PIA)', 'Data Breach Notification', 'Sensitive Data Discovery', 'Data De-Identification']"
3956,Piggy,"['Loyalty Management', 'Employee Recognition']"
3957,Pigment,"['Sales Planning', 'Budgeting and Forecasting', 'Sales \\u0026 Ops Planning', 'Corporate Performance Management (CPM)', 'Data Visualization', 'Financial Analysis']"
3958,Pillar Science,['Electronic Lab Notebook (ELN)']
3959,Piloterr,['Data Warehouse']
